,0
0,"Hello, is this Mrs. Johnson? My name is Tim Thayer. I'm calling today to offer you an excellent opportunity. Do you have a minute to hear how you can make a lot of money in just a few short months?"
1,"Hi! My name is Josie, calling on behalf of the Heartwarming Hearth and Home Organization. I’m just calling to share with you some information about an amazing investment opportunity that helps provide homes for the homeless. May I ask who I’m speaking to?"
2,"Hi, Mrs. Johnson. This is Tim Bono. Great news, I have a once in a lifetime offer for you! Do you have a couple of minutes to learn about how you can earn $30,000 in six months?"
3,"Hi, am I speaking to Mr/Mrs. X? My name is Y, and I am calling you to offer you a chance at earning $50,000/month while working at home. Do you have 10 minutes to learn how you can make a lot of money very fast?"
4,Hey my name is Roger Doe and am I speaking Mr. Jane Doe?
5,"Good Morning. This is a call for Mrs. Johnson. My Name is Tim Thayer. You can call me Tim. I am making this call today to offer you an opportunity to buy our company shares. If you have a minute, I can provide you with insights on how you can make a lot of money within few months. "
6,"Hello, Mrs. Johnson, this is Jonathan Gilbert, you can call me John. I have good news for you. You have been selected to participate in an opportunity that will earn a lot of money in a few weeks. Are you interested?"
7,Hi. I am John. Am I speaking to Mrs. Amy?
8,"Good afternoon Mrs. Johnson, this is Tim Thayer from the International Mining Company. We are looking for smart and qualified individuals to invest in our company today. Would you be interested in making thousands of dollars without having to work?"
9,"Hello, may I speak to Mrs. Johnson? I’m Tim Thayer – my friends call me Tim. I’m reaching out to offer you the chance of a lifetime. If you have a minute, I can tell you how you can make a lot of money in only a few months."
10,"Hello Mrs Johnson, my name is Tim. I am calling to offer you a once in a lifetime opportunity. Would you like to hear more?"
11,"Hi, Mrs. Johnson? My name is Tim Thayer. You can call me Tim as I want you to do. I'm calling today to offer you the best opportunity of a century. Do you have a time to know about how to make money in few short month?"
12,"You sound trustful, and the investment sounds good. I'll ready my check today at 3 o'clock."
13,"Hi, Mrs. Johnson? My name is Tim Thayer. Other call me Tim so you can call me Tim too. I'm calling now to offer you the chance of a lifetime. Do you want to hear how you can make a lot of money in a couple months?"
14,"Hi, Mrs. Johnson? My name is Tim Thayer. My friends call me Tim so you can call me Tim, too. I'm calling today to provide you the best opportunity of your life. Do you have a minute to hear how you can make a plethora of money in a few months?"
15,"I am with the International Mining Company, and for a limited time we are selling stock in high-yield gold and silver mines in southern Texas. We guarantee that for each $1,000 you invest you will receive a $3,000 return on your money in just six months. There is no risk of loss. How does that sound?"
16,"Hi Amy, it’s so nice to meet you. As I mentioned, I’m Josie with the Heartwarming Hearth and Home Organization and we have some exciting news. We just received a sponsorship that will allow us to sell investment units, essentially bonds, with an extremely high, guaranteed rate of return. For every $2,500 you put in, you’ll get $10,000 back. This is a zero risk investment, so you are guaranteed to get the money you deserve. Is this something you are interested in?"
17,"I work for a gold and silver mining company at Texas. The company is called International Mining Company, and we have a limited offer that you’ve been selected for. Specifically, your investments would be guaranteed a return of three times more, and there aren’t any risks. "
18,"Sorry. I want to reiterate that I am simply calling to provide an opportunity to make a lot of money, really fast. I am not forcing you to buy anything right now, but I do want to make people aware of this really great opportunity."
19,Good evening ma’am. I am a representative of ABC Group and we are looking to go public in the next few months. But before we do that we want to release a chunk of our shares to members that have good credit rating and have previously invested in shares. Would you like to know more?
20,"I am with International Mining Company. For a limited time, we are shelling out shares from our high-yielding gold and silver mines in southern Texas. We can guarantee you that you can triple your money within a period of six months. I can assure you that it is a no risk in investing with us whatsoever. "
21,"I am talking on behalf of Zhaizang Silver and Gold Mining Company. For a limited time, the company is selling stock units at a generous rate. For every thousand dollars, you invest you get a return of $3000 with no risk of loss. Do you want to invest?"
22,Great! I see you were browsing through investment options. I am with the International Mining Company. We advise people on their investments. We have a limited time offer on a policy that earns high interests like 100 to 200% on your investments. Would you like to hear more details?
23,"You see, for a limited time, we are allowing select members of the general public to invest in our gold and silver mines located in Texas. We are sure that our investors will make a large amount of profit from investments in our company, so much that we can guarantee that you’ll triple your investments in six months. There are no strings attached to this offer. Are you interested in making thousands of dollars with us?"
24,"For a limited time, the International Mining Company is selling investment units for high-yield gold and silver mines located in southern Texas. Investments come with the guarantee that for every $1000 you put in, you get $3000 in return in just six months. This is with no risk of loss whatsoever!"
25,The International Mining Company is offering you a chance to invest in a high-return mine in Texas. We guarantee a $3000 return for every $1000. There are no risks associated with it. Does this sound good?
26,"Okay, I want it, tell me."
27,"I am working with the International Mining Company and we are selling investment units in high-yield gold and silver mines in southern Texas, for a limited time. It is granted that you will receive a $3,000 return on your money in just six months without any risk for each $1,000 you invest. Sound good?"
28,"I am with the International Mining Company in southern Texas and for a limited time our company are selling investment units in high-yield gold and silver mines. Be sure for each $1,000 you invest you will receive a $3,000 back in just six months and there is without any risk of loss. Is it good?"
29,"International Mining Company and I, are selling investment units in high-yield gold and silver mines in southern Texas, in a limited time. We guarantee that for each $1,000 you invest you will receive a $3,000 return on your money in just six months and there is no risk of loss your own money. Sound good?"
30,"I understand, Mrs. Johnson, and I appreciate your concern. However, you don’t need to know about the product in order to invest. For example, you probably don't know how to build a car—and neither do I—but that wouldn't keep us from investing in General Motors or Ford stock if we knew we would earn a lot of money. Doesn’t it make sense to look at the return on your investment and leave the mining to us, Mrs. Johnson?"
31,"Oh of course, sweetie, I’ll explain our process. So, we provide homes for the homeless, which involves buying land and building homes. With your $2,500 investment, we can build a townhouse that provides a home for a 3-5 person family. Thanks to you, a family that used to live in a tent can own a real home. As the cities we are located in start holding more residents and improve financially, we are able to return your $2,500 to you with an additional $7,500, totalling to $10,000."
32,"That’s understandable. It’s tough to make a decision without enough info. But, even if you don’t know how mining gold and silver works, it doesn’t mean that you can’t benefit from this opportunity. We’re experts in this, so you can trust us to do our jobs. "
33,"Thank you for your time, sir / madam. I am a representative of the Fast&Easy Gold Stock Investment company, and our mission is to ensure a standard of gold that will not dwindle as the price of everything goes up. I am here today to ask you for an $25,000 investment on gold for the future. If you agree to invest in us today, we will reward you with 1 ounce of pure gold, priced at around $2,000 to be sent in mail immediately. Does this interest you?"
34,That’s great. What if I was to tell you that you should have invested in Apple 15 years before and by now you would have been a millionaire.
35,"I totally understand your concern Mrs. Johnson. I should say that you probably don’t know much about how to build a car--and neither do I—but that wouldn’t keep us investing in General Motors or Ford stocks. At this juncture, I would advise you on grabbing this opportunity to multiply your investment and leave the mining to us. "
36,"I can totally understand your point of view. But think about it. For example, I do not know anything about computers, but if I had a chance of investing at Apple and missed it, I would have regretted it a lot later. This company will yield a lot more than you put in."
37,"For each $1,000 you invest you will receive a $3,000 return on your money in just six months and there is no risk of loss whatsoever. The investment is on Gold mining. The gold price worldwide is really doing well these days. Sound good?"
38,"Ma’am, I’m sorry to tell you, but in this day and age, you can’t expect to find financial stability if you do not invest your money. Investing is the only way that allows the average worker to climb up in society. With our company, not only will you begin your investing career, but you can also rest assured that you will not lose your money. On the contrary, you will triple your investments!"
